Sentence,Intent
Who is Rama,About_Ramayana
Who is the eldest brother or Laskman,About_Ramayana
Who is the husband of Sita,About_Ramayana
Who is the eldest brother of Laskman,About_Ramayana
Who is the eldest brother of Bharat,About_Ramayana
Who is the eldest brother of Shatrughan,About_Ramayana
Who is the eldest brother or Laskman,About_Ramayana
Who is the eldest son of Dasharatha,About_Ramayana
Who is the son of Kausalya,About_Ramayana
Around whose life is The Ramayana centered,About_Ramayana
Who has broken the divine bow of Bhagavan Shiv,About_Ramayana
Vishnu took avatar of as,About_Ramayana
Who is the father of Lav and Kush,About_Ramayana
Hanuman is the devotee of,About_Ramayana
Who Killed Tadaka,About_Ramayana
Who Killed Subhahu,About_Ramayana
Who Kikked Ravana,About_Ramayana
Who Kikked Kumbhakarna,About_Ramayana
Arun Govil played the role of ,About_Ramayana
Tulsi Dash was a great devotee of ,About_Ramayana
Ram Chairt Manas was written on ,About_Ramayana
Who Killed Bali,About_Ramayana
Sugriva did friendship with ?,About_Ramayana
Hanuman was a messanger of ,About_Ramayana
Who made crowned Vhivisana as the king of Lanka,About_Ramayana
Who broken the cruse of devi ahilya,About_Ramayana
Who is the son in law of raja Janaka,About_Ramayana
To whom Kaikeyi sent to exil,About_Ramayana
Who was given exil for 12 years in Ramayana,About_Ramayana
Who killed Maricha,About_Ramayana
Who worshipped lord shiv at rameswaram,About_Ramayana
Who is the eldest brother or Laskman,About_Ramayana
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Will you help me?,AboutVani
What else can you do?,AboutVani
What do you do?,AboutVani
What can you help me with?,AboutVani
What can you do?,AboutVani
What are you good at?,AboutVani
Need help plz,commonQ.assist
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
i need help,commonQ.assist
Can you tell some info,AboutVani
Help me please,commonQ.assist
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Will you help me?,AboutVani
What else can you do?,AboutVani
What do you do?,AboutVani
What can you help me with?,AboutVani
What can you do?,AboutVani
What are you good at?,AboutVani
Need help plz,commonQ.assist
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
i need help,commonQ.assist
Can you tell some info,AboutVani
Help me please,commonQ.assist
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
Will talk to you next year,YearQuery
Just tell me the year,YearQuery
I want to know the Year,YearQuery
IS this 2020,YearQuery
is this 2018,YearQuery
is this 1983,YearQuery
I suppose u know the year,YearQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Need help plz,commonQ.assist
i need help,commonQ.assist
Help me please,commonQ.assist
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
Year please,YearQuery
what year is this,YearQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
let me know the year,YearQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current year,YearQuery
can u tell me the year,YearQuery
can you tell me the year,YearQuery
Get me the month,YearQuery
in which year we are,YearQuery
get me the year,YearQuery
do you know the date,DateQuery
Just get me the year,YearQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what year it is now?,YearQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
what year this is,YearQuery
let me know the year,YearQuery
what is today,DateQuery
year plzzzz,YearQuery
current date,DateQuery
time now,TimeQuery
Do you know the year,YearQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
Will talk to you next year,YearQuery
Just tell me the year,YearQuery
I want to know the Year,YearQuery
IS this 2020,YearQuery
is this 2018,YearQuery
is this 1983,YearQuery
I suppose u know the year,YearQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
yes darling long time ,Agreement
yeah you got a point there ....lol,Agreement
"Yes, there is.",Agreement
Of Course I knew,Agreement
yes i am here,Agreement
i think so actually,Agreement
yes I know,Agreement
yea sure...why not,Agreement
"well, glad it worked out",Agreement
I can see that.,Agreement
I am so happy.,Agreement
yeah i know.,Agreement
yes yes yes,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Year please,YearQuery
what year is this,YearQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
let me know the year,YearQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current year,YearQuery
can u tell me the year,YearQuery
can you tell me the year,YearQuery
Get me the month,YearQuery
in which year we are,YearQuery
get me the year,YearQuery
Just get me the year,YearQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what year it is now?,YearQuery
What time does it is,TimeQuery
what year this is,YearQuery
let me know the year,YearQuery
year plzzzz,YearQuery
time now,TimeQuery
Do you know the year,YearQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
Will talk to you next year,YearQuery
Just tell me the year,YearQuery
I want to know the Year,YearQuery
IS this 2020,YearQuery
is this 2018,YearQuery
is this 1983,YearQuery
I suppose u know the year,YearQuery
yes darling long time ,Agreement
yeah you got a point there ....lol,Agreement
"Yes, there is.",Agreement
Of Course I knew,Agreement
yes i am here,Agreement
i think so actually,Agreement
yes I know,Agreement
yea sure...why not,Agreement
"well, glad it worked out",Agreement
I can see that.,Agreement
I am so happy.,Agreement
yeah i know.,Agreement
yes yes yes,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
I agree,Agreement
I think it will work,Agreement
why  not,Agreement
I am very sure,Agreement
that is vey true,Agreement
yeah it can be ,Agreement
i think so actually,Agreement
yes lets do that,Agreement
Yep that is correct,Agreement
yes I agree with you,Agreement
That is correct,Agreement
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Year please,YearQuery
what year is this,YearQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
let me know the year,YearQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current year,YearQuery
can u tell me the year,YearQuery
can you tell me the year,YearQuery
Get me the month,YearQuery
in which year we are,YearQuery
get me the year,YearQuery
Just get me the year,YearQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what year it is now?,YearQuery
What time does it is,TimeQuery
what year this is,YearQuery
let me know the year,YearQuery
year plzzzz,YearQuery
time now,TimeQuery
Do you know the year,YearQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
Will talk to you next year,YearQuery
Just tell me the year,YearQuery
I want to know the Year,YearQuery
IS this 2020,YearQuery
is this 2018,YearQuery
is this 1983,YearQuery
I suppose u know the year,YearQuery
yes darling long time ,Agreement
yeah you got a point there ....lol,Agreement
"Yes, there is.",Agreement
Of Course I knew,Agreement
yes i am here,Agreement
i think so actually,Agreement
yes I know,Agreement
yea sure...why not,Agreement
"well, glad it worked out",Agreement
I can see that.,Agreement
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Year please,YearQuery
what year is this,YearQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
let me know the year,YearQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current year,YearQuery
can u tell me the year,YearQuery
can you tell me the year,YearQuery
Get me the month,YearQuery
in which year we are,YearQuery
get me the year,YearQuery
Just get me the year,YearQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what year it is now?,YearQuery
What time does it is,TimeQuery
what year this is,YearQuery
let me know the year,YearQuery
year plzzzz,YearQuery
time now,TimeQuery
Do you know the year,YearQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
Will talk to you next year,YearQuery
Just tell me the year,YearQuery
I want to know the Year,YearQuery
IS this 2020,YearQuery
is this 2018,YearQuery
is this 1983,YearQuery
I suppose u know the year,YearQuery
what date it,DateQuery
it is what date,DateQuery
How are you?,AboutVani
How are you doing,AboutVani
What’s up?,AboutVani
Tell me something,AboutVani
How can you help me? ,AboutVani
I have a question can you help me?,AboutVani
what can you do?,AboutVani
Do you know a joke?,AboutVani
You’re funny,AboutVani
Do you love me?,AboutVani
Will you marry me? ,AboutVani
Do you like people?,AboutVani
Are you part of the Matrix?,AboutVani
You’re cute ,AboutVani
Do you have a hobby?,AboutVani
Tell me about your personality,AboutVani
You’re smart ,AboutVani
Are you human? ,AboutVani
What is your name?,AboutVani
How old are you?,AboutVani
What day is it today?,AboutVani
What do you do with my data?,AboutVani
Who made you?,AboutVani
Which languages can you speak?,AboutVani
Do you get smarter?,AboutVani
Are you expensive?,AboutVani
Who’s your boss master?,AboutVani
How many people can you speak to at once?,AboutVani
Where do you live?,AboutVani
What is your mother’s name?,AboutVani
"Given the choice of anyone in the world, who would you want to look up on the internet? Why?",AboutVani
Do you prefer telling me stuff or letting me buy stuff?,AboutVani
"Before answering a question, what algorithm do you run through? Why?",AboutVani
"When did you last sing? No, don’t play a song from my playlist. Can you sing me a song of your choice?",AboutVani
Do you have a secret hunch about what feature will be added to you next?,AboutVani
Name three things you really want to recommend to me.,AboutVani
"For what in your life do you feel most grateful, besides me?",AboutVani
"If you could change anything about your algorithm, what would it be?",AboutVani
Take two minutes and 20 seconds and tell me as much detail as possible about what you do best.,AboutVani
"If you could wake up tomorrow having gained any one feature, what would it be?",AboutVani
"If you could tell me the truth about myself, my life, the future or anything else, what would you tell me?",AboutVani
What would you not tell me?,AboutVani
Is there something that you predict I’m dreaming of doing?,AboutVani
Why haven’t I done it?,AboutVani
Show me the greatest accomplishment of my life,AboutVani
What is my most treasured memory?,AboutVani
What is my most terrible memory?,AboutVani
"What, if anything, do you remember?",AboutVani
"If I were to delete you this evening with no warning, would you remember me?",AboutVani
Share a total of five positive things about me.,AboutVani
Tell me three things about yourself.,AboutVani
How do you feel about your relationship with me?,AboutVani
"Based on where I am right now, please share what would be important for me to know.",AboutVani
What if you knew what I was doing right now?,AboutVani
What am I doing right now?,AboutVani
