Sentence_Type,Class_Type,,,
"
but it would be 153 dollars round trip",statement,,,
"
and what time would you like to depart  from Hertford at",question,,,
"
that's uh a DC 10 from Newark to Dallas and then a DC 9 from Dallas to to San Jose",statement,,,
"
and i have his United um mileage plus number",statement,,,
"
that round trip um so to speak round trip with open return is 1055",statement,,,
"
 i've got a ti...",statement,,,
"
and your two sets of tickets will be waiting there",statement,,,
"
it was ticketed at a fare of 1091",statement,,,
"
this is C D",statement,,,
"
and this is the reference number the ticket has been booked under",statement,,,
"
where were you thinking of from",question,,,
"
and the ticket will be in my middle name right",statement,,,
"
i seem to have a very slow computer here",statement,,,
"
can i just get him on the phone",question,,,
"
today's the deadline for for buying that ticket",statement,,,
"
the airfare again like i said is um 198 total",statement,,,
"
i only want to go for the day",statement,,,
"
that's that's ok now",statement,,,
"
and i wanted to return on Monday July 31st",statement,,,
"
it's a corporate",statement,,,
"
how's he getting to Boston",question,,,
"
could you give me a contact telephone number please",question,,,
"
whether that's gonna",statement,,,
"
but the journey might be rerouted",statement,,,
"
and the Visa number",statement,,,
"
and l... let me schedule the 3:31",command,,,
"
and it would be completely non-refundable",statement,,,
"
or the one before that",statement,,,
"
and you arrive at 13:03 in Macclesfield",statement,,,
"
there's a direct flight at 3:30 p m",statement,,,
"
it's er a Visa",statement,,,
"
i'd like to get the cheapest rates you can",statement,,,
"
can i call back in 2 minutes and book that",question,,,
"
do you have any seat preference",question,,,
"
then there's a 16:31",statement,,,
"
would he be continuing on or returning home",question,,,
"
it's a little less than an hour",statement,,,
"
ah there's two there's two types i'm told",statement,,,
"
we need to actually fill out the form twice because it's classed as two separate journeys  with it being 1 with a railcard",statement,,,
"
so you have to have a confirmed return to get the lowest fares",statement,,,
"
there's a United at 8:55",statement,,,
"
then it would be a 25 percent penalty",statement,,,
"
there's only smoking best available that i can reserve you in  on the 20:07 tomorrow",statement,,,
"
they're going to be exactly the same",statement,,,
"
i've got the train departing at 10:35 from Taunton",statement,,,
"
that's a flight that st... uh goes through San Jose",statement,,,
"
the second reservation is for D E",statement,,,
"
the dates times and seat numbers are printed on the ticket for you",statement,,,
"
and it goes Traver City to Chicago O'Hare",statement,,,
"
i have two reservations to make",statement,,,
"
and then there's the flight from Nantucket back to Boston on Friday",statement,,,
"
that is completely non-refundable",statement,,,
"
the first train that you're ab...  a... able to use is on the 10:45 from Birmingham New Street",statement,,,
"
and i'll tell you what",statement,,,
"
and if we can make it",statement,,,
"
going out isn't bad",statement,,,
"
and it i they also included here a Delta file code number",statement,,,
"
i don't know the  time",statement,,,
"
the total cost is 83 pounds return",statement,,,
"
and then i can just ca...",statement,,,
"
and that gets in at 18:33",statement,,,
"
you can",statement,,,
let me call you back,command,,,
"
what sort of tickets are these ones called",question,,,
"
which is an aisle seat",statement,,,
"
i'll get on the 7:15",statement,,,
"
let's take a look",command,,,
"
the lowest airfare would be 353 round trip",statement,,,
"
there's it it's cheaper actually if",statement,,,
"
they don't",statement,,,
"
would you still you would still want to leave around the 4 o'clock 5 o'clock hour",question,,,
"
if we could",statement,,,
"
we could only get middle seating for all 3 passengers",statement,,,
let me pull up the profile for you,command,,,
"
let me take a look and price them both",command,,,
"
that's not a good new",statement,,,
"
it wi... will be near the John Wayne Airport i guess",statement,,,
"
you come back at any time",statement,,,
"
would have to be to fly all the way to the east coast um to fly to JFK",statement,,,
"
we can't predict what a fare is going to be",statement,,,
"
so all i needed was the travel advance for him",statement,,,
"
it's a 9 p m",statement,,,
"
it's 7 8 3 3",statement,,,
"
then the fare could range anywhere even higher than that 378 for a 25 percent penalty fare travelling mid-week",statement,,,
"
i'll i'll",statement,,,
"
if he's disembarking from the van at at 6:30",statement,,,
"
i put 20th",statement,,,
"
that's today",statement,,,
"
and that's departing at 6 p m from LA",statement,,,
"
here's the problem",statement,,,
"
or it will or he will be charged a penalty",statement,,,
"
the next flight after that is at 5:07",statement,,,
"
it doesn't tell us what it's going to be tomorrow",statement,,,
lets see what kind of fares they have,command,,,
"
when's the last train on the Sunday",question,,,
"
what time would you like to depart Edinburgh at",question,,,
"
and about what time on the 16th",question,,,
"
and that would be pretty much the uh the breakdown",statement,,,
"
and when would you like the tickets um tickets issued",question,,,
"
could you could you just uh get sort of a i mean type out a",question,,,
"
we're just going to leave it with an open return",statement,,,
"
 and when is you like to return",question,,,
"
is it going to be the same itinerary",question,,,
"
it's a full refund less 5 pounds if you have to cancel this ticket",statement,,,
"
so i know you don't have a profile on him",statement,,,
"
i'd like to travel out on Sunday the 4th of October",statement,,,
"
we've got you then on United flight 1 1 5  7 on the 10th of August",statement,,,
"
so i don't need a  return",statement,,,
"
 can you can you return at 18 hundred or",question,,,
"
i'd prefer that",statement,,,
"
if you're travelling back on a Sunday",statement,,,
"
and what time did you want to leave",question,,,
"
and you arrive in Blackpool North for 20:15",statement,,,
"
cos it is the day of the departure",statement,,,
"
cos they need that while they're on the train",statement,,,
"
it's it's in that ballpark",statement,,,
"
and it leaves at 3",statement,,,
"
lemme look at the return and see if that might have something to do with it",command,,,
"
let me get that",command,,,
"
and that's seven pounds for your Virgin Value Single",statement,,,
"
can i put it on my Diner's then please",question,,,
"
you don't want to book at all",statement,,,
"
you mean two in the afternoon i would arrive",statement,,,
"
it's a non-stop from Dulles to San Francisco",statement,,,
"
i need to make some um uh travel arrangements please",statement,,,
"
i feel like flipping a coin now",statement,,,
"
i'm not sure what time the trains are",statement,,,
"
is it going to be for personal or or business travel",question,,,
"
 whatever",question,,,
"
what did you want to change on your reservation",question,,,
"
it leaves at 3:43",statement,,,
"
you must stick to the dates and the times that i'm going to book for you",statement,,,
"
see",command,,,
"
the next non-stop is sold out",statement,,,
"
what happens",statement,,,
"
my name's B",statement,,,
"
that's maybe that's what he's talking about",statement,,,
"
it says ticket may be issued on or after",statement,,,
"
have you said you have to arrive on a Thursday",question,,,
"
they'll take care of that",statement,,,
"
whatever we request pretty much we get",statement,,,
"
how do you spell his last name",question,,,
"
what d...",statement,,,
"
 that's",statement,,,
"
the Super Advance is now fully booked up the entire day",statement,,,
"
98 dollars would be the lowest confirm... confirmable fare",statement,,,
"
the 4th",statement,,,
"
or it's 21:00 in the evening",statement,,,
"
if there is one",statement,,,
"
i'll go ahead and run them generally",statement,,,
"
you've got your pen ready",statement,,,
"
and let's uh",command,,,
"
the 51 pounds",statement,,,
"
a table would be good",statement,,,
"
did you get a hotel or information or anything like that",question,,,
"
he  called up",statement,,,
"
that's not a",statement,,,
"
that's what it's giving me",statement,,,
"
i need your long number across your swi... your credit card",statement,,,
"
 if you needed to change any of the time of travel",statement,,,
"
i don't know if that makes  any difference",statement,,,
"
can you",question,,,
"
it's",statement,,,
let me pull up your profile,command,,,
"
there's there's no condi...",statement,,,
"
 and it's coach K as in kilo",statement,,,
"
i would imagine we could depart around 5",statement,,,
"
i thought there was only one station there",statement,,,
"
we can't look at their seat maps",statement,,,
"
and the date you need to leave",statement,,,
"
and we'd have to ticket it by Tuesday",statement,,,
"
i do have that credit card",statement,,,
"
that's on the 19th",statement,,,
"
is it",question,,,
"
from what these travellers are telling me",statement,,,
"
it's 7th 2000",statement,,,
"
and the 70 pounds 50 is called a Saver Return",statement,,,
"
those are 78 round trip",statement,,,
"
the non-stop is at 4:40 arriving 7:05",statement,,,
"
what time does the uh United flight return",question,,,
"
that's  double",statement,,,
"
everything'll be just fine on that now",statement,,,
"
that is  don't matter",statement,,,
"
there is no lodging",statement,,,
"
i'll have to call F",statement,,,
"
he'd be going into Gatwick and leaving out of Heathrow",statement,,,
"
why d... don't you just leave the reservation as is",question,,,
"
i was wondering if you could handle some some reservations for me",statement,,,
"
and i'd like first class if it's available",statement,,,
"
and it would have gone up to 1 18",statement,,,
"
it's 6 plus 20",statement,,,
"
if it's it's still available",statement,,,
"
 is it the same price to go on to Wrexham Central",question,,,
"
there's a United at 6:26",statement,,,
"
the only fare that allows you that is the 5 24",statement,,,
"
there is no BBB here",statement,,,
"
 and that's the 15:41 in the  afternoon",statement,,,
"
if you see what i mean",statement,,,
"
and we need to get an estimate on how much uh for a round trip ticket to Little Rock Arkansas  leaving from San Jose",statement,,,
"
you want to book that",statement,,,
"
my problem is that my family and i are leaving San Francisco on TWA at 8 o'clock in the morning  on the 8th",statement,,,
"
the best i could do would be um a middle seat right now",statement,,,
"
you depart Birmingham New Street 11 a m  to arrive in Newton Abbot at 14:02",statement,,,
"
the only thing i've got is his number",statement,,,
"
they're in different buildings",statement,,,
"
 it's getting close to 2 o'clock",statement,,,
"
so i'd be leaving on Friday",statement,,,
"
it's either  that  or i have to leave on Wednesday",statement,,,
"
there's an American flight at 7:30",statement,,,
"
there's a later non-stop at 9",statement,,,
"
 and if i can get out",statement,,,
"
i'll just check the time",statement,,,
"
and that's with your senior railcard discount",statement,,,
"
or should we just do San Francisco",question,,,
"
there's a United flight that leaves at 6:20",statement,,,
"
 and the Visa number please",statement,,,
"
make it a window",command,,,
"
can you repeat your number again please",question,,,
"
are you just sending me",question,,,
"
 i just wanna book a one way ticket",statement,,,
"
if you can do us on a table",statement,,,
"
and i'm just going to check your return time",statement,,,
"
let's put that one",command,,,
or wait just one moment,command,,,
"
is there um",question,,,
"
is this going to be business or personal",question,,,
"
i don't need that",statement,,,
"
 so i'm just making sure it's going to be valid on the kind of ticket  we're going to sell you",statement,,,
"
it's going to be",statement,,,
"
 what time will i get into Wilmslow  if",question,,,
"
 and it's Mr  who's collecting the tickets tomorrow yeah",statement,,,
b... book me on that then,command,,,
"
that will also include your zone 7 on underground and your complimentary car parking voucher as well",statement,,,
"
what's your surname please",question,,,
"
and then it's a change of planes there",statement,,,
"
i do like American",statement,,,
"
that's that's alright",statement,,,
"
can you give me that again",question,,,
"
you collect them from the booking office in London Euston",statement,,,
"
and that would be a flight that leaves at 6 p m from Hong Kong",statement,,,
"
you mean departing from Helsinki to uh or Hong Kong  Helsinki",statement,,,
"
and that's today's the last day to buy it for the 28th",statement,,,
"
 that is a Super Saver is it",statement,,,
"
he may of said it because of some preference",statement,,,
"
if they leave",statement,,,
"
don't ask me why he wants to do this",command,,,
"
let me make sure i have that i have the profile",command,,,
"
i think the uh you know",statement,,,
"
you can change at Preston before that",statement,,,
"
 can i just get my credit card",question,,,
"
do you take accept American Express",question,,,
"
is that round trip or just the one way",question,,,
"
i would need to know the date you're checking in and the date you're checking out",statement,,,
"
we would have to issue the ticket today",statement,,,
"
let me guess",command,,,
"
it's 33  Street",statement,,,
"
that  gets you into Wilmslow for 23:23",statement,,,
"
and the ticket will be waiting there tomorrow",statement,,,
"
does it matter to them",question,,,
"
which is  great",statement,,,
"
that's 99 a person",statement,,,
"
i'm not old",statement,,,
"
if you could give me the same details about that flight number and uh",statement,,,
"
that's where the ticket will be posted out to",statement,,,
"
 the Virgin Value fare is 19 pounds return",statement,,,
"
 so it must be only non-smoking trains  that are available",statement,,,
"
th... there's a flight",statement,,,
"
i have a feeling we're in Menlo Park",statement,,,
"
what flights do you have returning to uh Orange county uh late afternoon",question,,,
"
do you have any distances easily available in your computer there",question,,,
let me just check here,command,,,
 and confirm the address for me please,command,,,
"
there is a United US Air or American at 7",statement,,,
"
you are you saying there definitely is one at 10 to 6",statement,,,
"
what city are they travelling to",question,,,
"
 you confirm that address for me please",statement,,,
"
i want",statement,,,
"
 is it a Mr or Mrs",question,,,
"
if that's ok",statement,,,
"
i'll go ahead and issue that",statement,,,
"
that will be valid throught the 20th of July",statement,,,
"
let's just go the direct return leaving around 5 p m",command,,,
"
if you cancel by 2 o'clock today",statement,,,
"
i'm calling about a trip for C D",statement,,,
"
it's flight 4 6 0 7",statement,,,
"
and how much is that",question,,,
"
can we book on that one please",question,,,
"
there is no any availability",statement,,,
"
i'm just checking to see what's the nearest time to that is a... is available",statement,,,
"
i'm leaving August 9",statement,,,
"
which is 0 1 1 9 0 8",statement,,,
"
let me take a look and see from Portland to San Francisco what the earliest flight would be",command,,,
"
and what type of credit card",question,,,
"
you can book the Virgin Value Business",statement,,,
"
and so i need to know some time periods",statement,,,
"
i'm leaving 7:15 a m from Birmingham New Street and leaving London Euston at 10:35 a m on Sunday",statement,,,
"
we're talking 18:30 or 19",statement,,,
"
i can't guarantee that no one will be sitting between them",statement,,,
"
but i've checked that out",statement,,,
"
it's just for one",statement,,,
let me let me let me beg your pardon here for a second,command,,,
"
will you be using this information to start a a profile for H F",question,,,
"
it's American flight 1 4 0  4",statement,,,
"
is it yourself that holds the credit or debit card",question,,,
"
it's it's about em em well erm 6",statement,,,
"
and let's see",command,,,
just hold the line,command,,,
"
i want to purchase a ticket for the erm the 6th of October",statement,,,
"
you must stick to the date and time that you book",statement,,,
"
i i uh they they'll want to get on the same uh flight that i do",statement,,,
"
i think it's the 8th",statement,,,
"
and what date did you want to leave",question,,,
"
British Air has a 174 14 round trip",statement,,,
"
how do i get my tickets now",question,,,
"
it's the address is the next bit",statement,,,
"
cos that's who i'm going to go and stay with",statement,,,
"
what about",question,,,
"
it's either a 13:00 departure  in the m... afternoon from Euston",statement,,,
"
do you hold a current credit or debit card",question,,,
"
and that's for 19  pounds",statement,,,
"
is that right",question,,,
"
that is a Saturday",statement,,,
"
we don't have commercial flights going into Wild Wood Cape May",statement,,,
"
is is there one one that gets there just a little bit earlier   in case of any problems",question,,,
"
and that is a non-refundable fare",statement,,,
"
and we can't really tell on those",statement,,,
"
that's what i meant",statement,,,
"
it's going from  Derby  to St Pancreas",statement,,,
"
you said yourself it's a credit card holder",statement,,,
"
 cos i was quoted 19 pounds",statement,,,
"
it's 25 percent penalty um attached to all all of those fares economy business and first",statement,,,
"
cos there aren't that many seats on that",statement,,,
"
because we we request through our computer specific seats",statement,,,
"
then we're not missing that in the profile at least",statement,,,
"
what um",question,,,
"
i... it's just a Single ticket",statement,,,
"
then i i i won't be able to make a Monday morning",statement,,,
"
i've got  i've got to get the 11:41",statement,,,
"
is that a suitable time",question,,,
"
and 40 pounds exactly's been debited from your debit card",statement,,,
"
the only trai...",statement,,,
"
and the next line of the address",statement,,,
"
and they have to be confirmed",statement,,,
"
she has to collect hers from Euston  no",statement,,,
let me look there,command,,,
"
and he needs to go to Montreal",statement,,,
"
it's just a matter of",statement,,,
"
the one second Canadian Air",statement,,,
"
this is B over in Dr C's office",statement,,,
"
the Wednesday's the same",statement,,,
"
can you hold please",question,,,
"
you just need to go to the travel centre",statement,,,
"
which is the",question,,,
"
then it's 469",statement,,,
"
it arrives back into San Jose at 6:42",statement,,,
"
it would be the same airfare",statement,,,
"
i'll go ahead",statement,,,
"
may i help you",question,,,
"
and  the total cost is 28 pounds in total",statement,,,
"
and it was into LAX on Continental",statement,,,
"
my appointment is at 2 o'clock",statement,,,
"
and book ahead because the th... the Tokyo flights sell out weeks in advance if you can",command,,,
"
or one stop maybe in either Portland or Seattle and continuing on down",statement,,,
"
is that  for",question,,,
"
you'd have to make your re... changes 7 days before the new date or pay a 500 dollar fare to come home",statement,,,
"
it's em",statement,,,
"
we could get it for um 1079",statement,,,
"
i need some round trip air fares",statement,,,
"
it just connects to another flight to Oakland rather then to San Francisco",statement,,,
"
i can confirm you on the 6 o'clock flight",statement,,,
"
if he changes again",statement,,,
"
and then it changes to 7 5 1 at 5:16 in the afternoon",statement,,,
let me make sure i have that i have the profile,command,,,
"
i'll go ahead and do it",statement,,,
"
it's acting very strange",statement,,,
"
i can get it off anoth ... another person  who has it",statement,,,
"
and that's what i'm getting is through Heathrow",statement,,,
"
and the last one is Oklahoma City",statement,,,
"
i can ask for um flights through Helsinki",statement,,,
"
let me find out  ok",command,,,
"
i'd made made some arrangements on Monday that have to be changed",statement,,,
"
then i checked the Apex",statement,,,
"
that's  just absolutely marvelous",statement,,,
"
it's going to be  non-smoking",statement,,,
"
and that's 9 pounds 50",statement,,,
let's do that,command,,,
"
those you need to stay over a Saturday night for",statement,,,
say  the 19th of September,command,,,
"
this is A B",statement,,,
"
they don't offer any morning flights to Tokyo",statement,,,
"
that's on the profile",statement,,,
"
then i i could go the morning of the 9th of September",statement,,,
"
there's not any Virgin Value fares",statement,,,
"
and we've just established em two train times on the 19 pounds going through Rugby Super Saver Virgin",statement,,,
"
and that's through Pittsburg",statement,,,
"
i... it's American US Air i think are our",statement,,,
"
thank you very much for your help",statement,,,
"
and that's smoking",statement,,,
"
and if you needed to change any of the times of travel",statement,,,
"
can we hold off the seat assignments for about a half an hour",question,,,
"
if you just bear with me",statement,,,
"
that would be a penalty",statement,,,
"
because we're going all the way that way aren't we",statement,,,
"
and the tickets will be posted out in first class post to you this afternoon",statement,,,
"
and what type of credit card is that you hold",question,,,
"
you need to connect somewhere like from TWA to Air France or Pan Am to Air France or something to get in to Baron",statement,,,
"
but you've got to stick to the date and time that you book",statement,,,
"
i'll have to check with my husband",statement,,,
and let me see,command,,,
"
and it's coach  as in   number 9 and 10",statement,,,
"
and it's going to be 45 pounds 50",statement,,,
"
you're travelling from Leicester at 9:18 in the morning",statement,,,
"
that's that's really what i'm i'm after",statement,,,
"
w... wait a second",command,,,
"
you can cancel cancel that any time",statement,,,
"
but you er  but er but what happen is that 2  2  2 of my sisters are travelling",statement,,,
"
i want to fly from San Francisco to Syracuse New York",statement,,,
"
it's not available on the 6:34 in the morning",statement,,,
"
so  hopefully we will get a new system",statement,,,
"
we can get him on a non-refundable fare for you know a fairly good price compared to 1070",statement,,,
"
and you said you wanted to travel next week",statement,,,
"
what about for the Wednesday",question,,,
"
this is A",statement,,,
"
it's any train",statement,,,
"
so he can make a decision",statement,,,
"
we'll go with that",statement,,,
"
one will be coming back uh direct",statement,,,
"
is that ok for the credit card",question,,,
"
and there's nothing in between th... even with uh confirmed date that would allow for a cancellation at anytime before the",statement,,,
"
does anyone who's travelling have a railcard",question,,,
"
and i'm back on United at uh 4:38 the next day",statement,,,
"
do you hold a current debit card or credit  card",question,,,
"
do you not know where the bill and address is the bill's sent to",question,,,
"
there i can get a seat on it",statement,,,
"
and there'd be a middle seat that's empty between them right now",statement,,,
"
and the total",statement,,,
"
1070 is completely non-penalty",statement,,,
"
it'll be the cheap Day Single at 20 pounds 40",statement,,,
"
which will enable you use that journey that way",statement,,,
"
if you don't want to pick them up right away",statement,,,
"
i i hesitate uh for him particularly to get anything uh because he does change a lot",statement,,,
"
this ticket must be booked by 2 o'clock today",statement,,,
"
who am i speaking with",question,,,
"
one of them is",statement,,,
"
where does he need to be",question,,,
"
show your credit card",command,,,
"
i have  a Monday morning meeting",statement,,,
"
is it",question,,,
"
and that's your Virgin Value Single",statement,,,
"
you want to write down what the schedule is on that",statement,,,
"
i have i have eh no preference",statement,,,
"
i think we'll stick with US Air number i think 2 9 0 8",statement,,,
"
that connects through Dallas",statement,,,
"
again this is provided that the flights are available",statement,,,
"
if you miss any services that i've reserved you on",statement,,,
"
cos i'm not sure about that",statement,,,
"
maybe SFO's fine",statement,,,
"
i'd quite like to get something in in writing",statement,,,
"
is that after 10",question,,,
"
so really i could get off at Wrexham General",statement,,,
"
but the latest is 7:45",statement,,,
"
how can i help you",question,,,
"
if he wants to go for like a three point connection",statement,,,
"
you need a letter of authorisation then from",statement,,,
"
do you have any that get in... into uh Ottawa later in the evening",question,,,
"
i i i live in London England",statement,,,
"
you arrive in Wrexham General 14:55",statement,,,
"
i wish to travel to London tomorrow morning",statement,,,
"
they don't offer unfortunately any discounts without penalties for that market",statement,,,
"
so i guess that's why they they  of them have changed their profiles",statement,,,
"
and it's a change of planes in Dallas and into  San Jose a... at 11",statement,,,
"
you're quite welcome",statement,,,
"
why don't why don't we take the7:40 flight",question,,,
"
and i guess a couple of United connections",statement,,,
"
but do you know this area",question,,,
"
could you give me your contact telephone number please",question,,,
"
that looks like that's what it's um that's what it's holding is that",statement,,,
"
we say it's a return journey",statement,,,
"
if we go from Orlando to Miami on the Delta",statement,,,
"
do you have a pen handy",question,,,
"
we'll go for the er",statement,,,
then let me give you the round trip fare for that,command,,,
"
it's by tomorrow",statement,,,
"
we do say 50 minutes",statement,,,
"
if he's gonna travel on a Saturday",statement,,,
"
i'd like to leave on the 7:33 train",statement,,,
"
the issue is that uh the client's asking us to travel on our own time on weekends",statement,,,
"
they they have to be in LA at 9:30 and so",statement,,,
"
you are very kind",statement,,,
"
or if you wanted to go in the morning of the 4th",statement,,,
"
how much is the ticket",question,,,
"
this this actually is really old",statement,,,
"
i'm i'm thinking this is a minister that's going to be doing a wedding",statement,,,
say around 6 o'clock,command,,,
"
 and it's going to be coach  for",statement,,,
"
this traveller is making",statement,,,
"
i could put them in one seat in front of the other",statement,,,
"
you said 7 p m",statement,,,
"
but i could i could still give you this Delta file code number and and i could do it through you instead of having to deal with these people down in Saint Petersburg Beach",statement,,,
"
i i don't want to change at Birmingham New Street",statement,,,
"
he says",statement,,,
"
what what what availability do you have er from Euston to Wilmslow",question,,,
"
it's Monday the 20th",statement,,,
"
you would not get in until 10:41",statement,,,
"
is that a Delta card",question,,,
"
and that was for checking in on the 7th",statement,,,
"
the credit card",statement,,,
"
  that would work out to 20 pou... 19 pounds 80 with your  railcard discount",statement,,,
"
that's gone up then",statement,,,
"
it's 61 pounds 50",statement,,,
"
the long number across the switch card",statement,,,
"
and this is",statement,,,
and take your letter of authorisation with you,command,,,
"
i'm just going to check to see what's the cheapest fare available to you",statement,,,
"
that would be United flight 2 9 7 4",statement,,,
"
it's only 9:37 to 12:30  for that trip",statement,,,
"
the best fare i can get you on this would be 568 round trip",statement,,,
"
is it going to be for domestic travel",question,,,
"
and what time on the Sunday",question,,,
"
how about the 28th",question,,,
let me take a look and see if i can get you a window,command,,,
"
the two carriers service that",statement,,,
"
 there's not any non-smoking seats left",statement,,,
"
let me check here",command,,,
"
let's see what would get you there then",command,,,
"
and the confirmation number for that",statement,,,
"
i'd like to make some travel arrangements",statement,,,
"
at what time",question,,,
"
and as i say request",statement,,,
"
and they said   it was good until 89",statement,,,
"
and that is a non-stop flight",statement,,,
"
that would be a total of 916 round trip for the lowest fare",statement,,,
"
this is two weeks in advance",statement,,,
"
as long as he's got a slot on that flight",statement,,,
"
i'm requesting 8 C on the outbound flight",statement,,,
"
 show",command,,,
"
and then we'll go to the next one",statement,,,
"
let me just see what sort of fare i can get you on this",command,,,
"
i thought we needed a travel advance from you",statement,,,
"
i'm back",statement,,,
"
it's it's going to be the same airfare out out of ei... either airport",statement,,,
"
45 pounds 50 will be debited from that account",statement,,,
"
the 19 pounds Virgin Value fare is now fully booked up for tomorrow",statement,,,
"
i think we're all set right",statement,,,
"
but you reduce that slightly",statement,,,
"
and they don't offer night service from the west coast to Tokyo",statement,,,
let's do it Wednesday and deliver them on Thursday,command,,,
"
and can i put your name please",question,,,
"
i'm A  all right",statement,,,
"
and this is your reference number to quote",statement,,,
let me give you the flight information,command,,,
"
 just hold the line",command,,,
let me let me pull up your  profile first,command,,,
"
and that'll come back to us",statement,,,
"
the only problem is frequency of flights into San Jose   are limited",statement,,,
"
you're welcome",statement,,,
"
i don't know if this is the same trip we're thinking of",statement,,,
"
i just wondered if you if they went direct erm",statement,,,
"
they don't service Traver City",statement,,,
"
and does he need a car or anything hotel",question,,,
"
if he takes a limousine",statement,,,
let's say   half 3 in the afternoon,command,,,
"
if i book it for a certain time going down",statement,,,
"
 you're talking about",statement,,,
"
excuse a moment",command,,,
"
and does he want to fly Continental or United",question,,,
"
and you could come back at any time within the time restrictions",statement,,,
"
the return ticket will be there tomorrow",statement,,,
"
it's the 10th of October",statement,,,
"
so once you get off at Birmingham",statement,,,
"
th... th... that's a direct flight so you were looking",statement,,,
"
i'd rather get on the 7:15",statement,,,
"
one will  be in the middle ok",statement,,,
"
that would be American 4 7 9 on the 5th of September",statement,,,
"
and the ticket will be",statement,,,
"
get the 3:30 flight please",command,,,
"
is it just for 1",question,,,
"
you do have a fl... a flight through SF that's leaving at 4:20 you said",statement,,,
"
let me check with him um",command,,,
"
is there any seat preference",question,,,
"
and what do you need to do",question,,,
"
 it's 0 7 9 7",statement,,,
"
we'll go for that one then",statement,,,
"
they must of changed all their flight numbers",statement,,,
"
 that's at the right time what",statement,,,
"
and again the coach was 1714",statement,,,
let me get that,command,,,
"
i'm B with WWW",statement,,,
"
and that's confirmed right",statement,,,
"
but it won't matter if the ticket says that time will it",statement,,,
"
i'm not sure if they're just 10 minutes to the hour",statement,,,
"
 you want the 20:13 in the evening",statement,,,
"
and if the expiration date says it's expired",statement,,,
"
or is there always tickets",question,,,
"
he won't have any luggage",statement,,,
"
we've gone through",statement,,,
"
but i could do other business  there",statement,,,
"
i'm it leaves Ottawa",statement,,,
"
and then the person our employee there will call call you and and just tell you that it's ready to come down and and pick it up",statement,,,
"
keep me where i am then",command,,,
"
that goes through Denver",statement,,,
"
i was just actually double checking that because  all part of the journey that you're doing is actually on Virgin trains",statement,,,
"
i've just got quite a few trips here",statement,,,
"
you would need to get the 16:31",statement,,,
"
i understand it's to San Francisco",statement,,,
"
and why don't you bring up my record",question,,,
"
 what if i book",question,,,
"
that's  that's a little cruel",statement,,,
"
and at what time",question,,,
"
that's           Gargrave          Limited",statement,,,
"
or i could put them in uh two aisles with a middle seat between them in the central section of the p... of the flight",statement,,,
"
and it's",statement,,,
"
and is it for one way  or round trip or per  segment",question,,,
"
 if you need to change any of the times of travel",statement,,,
"
358 would apply",statement,,,
"
San Francisco Tokyo uh fare quote for business round trip would be 2114",statement,,,
"
i'm going to give you the details",statement,,,
"
there's a",statement,,,
"
 and the name of the company",statement,,,
hold on a second,command,,,
"
i'm going to throw this past him",statement,,,
"
so let's book that midnight red eye out of SFO",command,,,
"
this will be exactly the duplicate for Mr HHH",statement,,,
"
that's the 19th",statement,,,
"
so i can still leave during this 6:53",statement,,,
"
what's your first 1 or 2 morning flights on the 9th",question,,,
"
the  latest one is 14:50 in the afternoon",statement,,,
"
they are at 1:40 p m and 8 p m",statement,,,
"
it's for 1",statement,,,
"
what happened to the 78 dollar fares or those sort of things",statement,,,
"
that's 8 a m",statement,,,
"
but  it's",statement,,,
"
i guess it's too",statement,,,
do,command,,,
"
if you have to  estimate a price",statement,,,
"
and i want to go on a value place tomorrow",statement,,,
"
and i understand another group has made the reservations",statement,,,
"
it's eh going out at uh 2 o'clock today",statement,,,
"
but you would have to connect going to Dallas",statement,,,
"
when i've had just received them",statement,,,
"
would  that be good",question,,,
show your credit card,command,,,
"
let me get this right",command,,,
don't ask me why he wants to do this,command,,,
"
it is",statement,,,
"
i'll just chance it then",statement,,,
"
they have seats that we you know we can't book the the way you look",statement,,,
"
do you know where he's at",question,,,
"
and that is a non-penalty fare as well",statement,,,
let me confirm that for you,command,,,
"
so you don't want to book a ticket just now",statement,,,
"
and we are talking Columbus Ohio correct",statement,,,
"
i need to check availability on the return to see what fare we can offer you",statement,,,
"
it connects up with a United flight at 6:30",statement,,,
"
again full coach would be 531 dollars each direction",statement,,,
"
so that's going to save you 21 pounds 50 there",statement,,,
"
it's a company card in your name",statement,,,
"
he's gotta pay",statement,,,
"
that's fine",statement,,,
"
is that got the the tea and coffee as well",question,,,
"
we don't have any guarantee that it will clear",statement,,,
show your credit card,command,,,
"
then i can go into another area and do the other person",statement,,,
wait,command,,,
"
is that is that the only departure time",question,,,
"
i really need",statement,,,
"
it's a full refund less 5 pounds",statement,,,
"
what i really need to do is check with my wife to see if she can pick me up",statement,,,
"
if you return on a Friday",statement,,,
"
it'll be 1060 dollars",statement,,,
"
so that might be",statement,,,
"
and what time would the plane be leaving",question,,,
"
he wants to change um United to U US Air",statement,,,
"
there's a 12 noon arrives 2:45",statement,,,
"
 the connection's offered",statement,,,
"
i'm going to request 27 B",statement,,,
"
and all departing from San Francisco",statement,,,
"
i'm going to book you a forward facing seat again",statement,,,
"
and there was also a Un... United flight",statement,,,
"
i need his employee number please",statement,,,
"
you must do so by 6 o'clock the day before your outward journey",statement,,,
let me check the fares,command,,,
